,0,1,2,3,4,5,6,7,8,9
0,0.0002,32.0,0.9,0.999,0.25,0.01,3.0,20.0,2.0,0.1315404224576062
1,0.001,32.0,0.9,0.999,0.35,0.01,3.0,20.0,1.0,-0.2476961557424053
2,0.0002,32.0,0.9,0.999,0.25,0.01,3.0,20.0,2.0,0.2329241102598898
3,0.001,32.0,0.9,0.999,0.35,0.01,3.0,20.0,1.0,-0.2278821786777565
4,0.001,16.0,0.9,0.999,0.35,0.01,3.0,20.0,1.0,-0.0220446373965619
5,0.0002,32.0,0.9,0.999,0.25,0.01,3.0,20.0,1.0,0.1200965156214726
6,0.001,32.0,0.9,0.999,0.25,0.01,3.0,20.0,2.0,0.0043202237490891
7,0.001,16.0,0.9,0.999,0.25,0.01,3.0,20.0,1.0,-0.2122062859470086
8,0.001,32.0,0.9,0.999,0.25,0.01,3.0,20.0,2.0,-0.4699933975759229
9,0.001,16.0,0.9,0.999,0.35,0.01,3.0,20.0,2.0,-0.3060514141546844
10,0.001,32.0,0.9,0.999,0.35,0.01,3.0,20.0,1.0,-0.3254631729553983
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0
12,0.001,16.0,0.9,0.999,0.25,0.01,3.0,20.0,1.0,-0.753031447406878
13,0.0002,32.0,0.9,0.999,0.35,0.01,3.0,20.0,1.0,-0.3708347032433654
14,0.0002,32.0,0.9,0.999,0.25,0.01,3.0,20.0,2.0,-0.7264654313608614
15,0.001,16.0,0.9,0.999,0.25,0.01,3.0,20.0,1.0,-0.209592517576995
16,0.001,16.0,0.9,0.999,0.25,0.01,3.0,20.0,2.0,-0.6860917026491706
17,0.0002,16.0,0.9,0.999,0.35,0.01,3.0,20.0,1.0,-0.3875832635231113
18,0.001,32.0,0.9,0.999,0.35,0.01,3.0,20.0,1.0,0.1186975208612219
19,0.0002,32.0,0.9,0.999,0.35,0.01,3.0,20.0,1.0,0.2110442325489661
20,0.0002,16.0,0.9,0.999,0.25,0.01,3.0,20.0,2.0,0.1450672051650336
21,0.0002,32.0,0.9,0.999,0.25,0.01,3.0,20.0,2.0,0.3419062667176815
22,0.001,32.0,0.9,0.999,0.35,0.01,3.0,20.0,1.0,0.1054848551477298
23,0.0002,32.0,0.9,0.999,0.35,0.01,3.0,20.0,1.0,0.2076937736568389
24,0.0002,16.0,0.9,0.999,0.35,0.01,3.0,20.0,1.0,0.2329241102598898
25,0.001,16.0,0.9,0.999,0.35,0.01,3.0,20.0,1.0,0.1041341757302765
26,0.001,32.0,0.9,0.999,0.25,0.01,3.0,20.0,1.0,0.1765083828138876
27,0.001,16.0,0.9,0.999,0.35,0.01,3.0,20.0,1.0,0.1212331066838836
28,0.001,32.0,0.9,0.999,0.25,0.01,3.0,20.0,1.0,-0.0065473797286474
29,0.0002,32.0,0.9,0.999,0.35,0.01,3.0,20.0,2.0,0.3024534737637201
30,0.0002,16.0,0.9,0.999,0.35,0.01,3.0,20.0,2.0,0.263344922434241
31,0.0002,16.0,0.9,0.999,0.25,0.01,3.0,20.0,1.0,0.2271124113470592
32,0.0002,16.0,0.9,0.999,0.25,0.01,3.0,20.0,2.0,0.1949692112952044
33,0.0002,32.0,0.9,0.999,0.35,0.01,3.0,20.0,1.0,0.2672135970245455
34,0.001,32.0,0.9,0.999,0.35,0.01,3.0,20.0,1.0,0.117118297288794
35,0.0002,16.0,0.9,0.999,0.35,0.01,3.0,20.0,1.0,0.1619798921034967
36,0.001,16.0,0.9,0.999,0.35,0.01,3.0,20.0,1.0,-0.2667938647018539
37,0.0002,16.0,0.9,0.999,0.35,0.01,3.0,20.0,2.0,-0.5261714986180226
38,0.0002,32.0,0.9,0.999,0.35,0.01,3.0,20.0,1.0,-0.559019498918278
39,0.001,16.0,0.9,0.999,0.25,0.01,3.0,20.0,2.0,-0.1409881671695516
40,0.0002,32.0,0.9,0.999,0.35,0.01,3.0,20.0,2.0,-0.3230739943025627
41,0.0002,32.0,0.9,0.999,0.35,0.01,3.0,20.0,1.0,-0.7316493626608156
